Id,Name,Code,LookupTable,Description,IsPrivate,GroupName,DataType,MinAllowedValue,MaxAllowedValue,IsQS,Decode,weight
127,Charger Level,ChargerLevel,ChargerLevel,"<p>There are three levels of battery chargers currently. Level 1 and 2 are AC chargers; Level 3 is a DC charger. Chargers at each level charge batteries with different voltage and current levels. Level 3 is the fastest charging.</p><p>-Level 1</p><ul><li>AC charger.</li><li>In North America this typically means 16 amps at 120 volts delivering 1.9 kW of power.</li><li>In Europe it may be 13 or 16 amps at 240 volts delivering 3 kW of power.</li><li>The EV may incorporate a standard domestic power cord to connect the vehicle to a domestic socket outlet or a Level 1 charging station.</li></ul><p>-Level 2</p><ul><li>AC charger.</li><li>It delivers up to 20 kW of power from either single- or three-phase alternating current (AC) sources of 208-240 volts at up to 80 amps.</li></ul><p>-Level 3</p><ul><li>DC charging, or ""fast charging.""</li><li>To achieve very short charging times, Level 3 chargers supply very high currents of up to 400 amps at voltages up to 600 volts DC delivering a maximum power of 240 kW.</li></ul>",0,Mechanical / Battery / Charger,lookup,NULL,NULL,NULL,Pattern,NULL
128,Charger Power (kW),ChargerPowerKW,NULL,<p>Charger power stores the power of the charging circuit on board in kilowatts (kW).</p>,0,Mechanical / Battery / Charger,int,NULL,NULL,NULL,Pattern,NULL
129,Other Engine Info,OtherEngineInfo,NULL,<p>This is a catch-all field for storing additional engine information that does not fit in any of the other engine fields.</p>,0,Engine,string,NULL,500,NULL,Pattern,NULL
132,Battery Current (Amps) To,BatteryA_to,NULL,<p>Battery Current (Amps) To field stores the higher value for battery current range in the unit of amperes (amps).</p>,0,Mechanical / Battery,int,NULL,NULL,NULL,Pattern,NULL
133,Battery Voltage (Volts) To,BatteryV_to,NULL,<p>Battery Voltage (Volts) To field stores the upper bound for battery voltage range in the unit of volts.</p>,0,Mechanical / Battery,int,NULL,NULL,NULL,Pattern,NULL
134,Battery Energy (kWh) To,BatteryKWh_to,NULL,<p>Battery Energy (kWh) To field stores the upper bound of battery energy range in the unit of kilowatt-hour (kWh).</p>,0,Mechanical / Battery,decimal,NULL,NULL,NULL,Pattern,NULL
135,Turbo,Turbo,Turbo,<p>Turbo is a yes/no field to identify whether the engine is turbo-charged or not.</p>,0,Engine,lookup,NULL,NULL,NULL,Pattern,NULL
136,Base Price ($),BasePrice,NULL,<p>Base price of the vehicle is the cost of a new vehicle with only the standard  equipment and factory warranty. It is the cost without any optional packages.</p>,0,General,decimal,NULL,NULL,NULL,Pattern,NULL
137,Number of Battery Modules per Pack,BatteryModules,NULL,<p>This field stores the information about how battery modules are arranged for a vehicle.</p>,0,Mechanical / Battery,int,NULL,NULL,NULL,Pattern,NULL
138,Number of Battery Packs per Vehicle,BatteryPacks,NULL,<p>This field stores the information about how battery packs are arranged for a vehicle.</p>,0,Mechanical / Battery,int,NULL,NULL,NULL,Pattern,NULL
